CONF,DATE,FRAN,PLAYER,SALARY,YEARS,CONTRACT,2026 PEN,2027 PEN,B/R,TR/IB,FG,(S),JT,1.XX+,NOTES,ENTD?,RVSD?
NFC,8/17/2026 15:18:51,PHI,Christian Kirk,2,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/17/2026 15:18:51,PHI,Trey Lance,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/17/2026 15:18:51,PHI,Devaughn Vele,1.1,1,2026 UFA,,,,,,,,,WAIVER CLAIM - REVERSE PENALTY; CLAIMED BY DAL,,x
NFC,8/17/2026 19:50:26,ATL,Tedarrell Slaton,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/17/2026 19:50:26,ATL,Luke Schoonmaker,4.1,4,2024 iEXT,,,,,,,,,,,
NFC,8/17/2026 19:50:26,ATL,Ivan Pace,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/17/2026 19:50:26,ATL,Shaun Dolac,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/17/2026 19:50:26,ATL,Jam Miller,0.99,4,2026 5.07,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/17/2026 21:59:06,CHI,Joe Mixon,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/18/2026 07:35:10,PHI,Arik Armstead,2,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/19/2026 12:31:47,PHI,Lonnie Johnson,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/19/2026 16:06:55,PHI,John Jenkins,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/19/2026 16:06:55,PHI,Chidobe Awuzie,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/19/2026 16:06:55,PHI,Tyler Conklin,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/19/2026 16:06:55,PHI,Jordan Elliott,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/19/2026 16:06:55,PHI,Sam Okuayinonu,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/19/2026 16:06:55,PHI,Isaiah McGuire,1.1,1,2026 UFA,,,,,,,,,WAIVER CLAIM - REVERSE PENALTY; CLAIMED BY SEA,,x
NFC,8/20/2026 15:36:07,SEA,Adisa Isaac,1.1,1,2025 R/F,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/20/2026 15:36:07,SEA,Tez Johnson,4.52,4,2025 iEXT,,,,,,,,,,,
NFC,8/24/2026 12:04:40,ATL,Romello Height,0.98,4,2026 5.15,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/26/2026 08:41:41,NOS,Cash Trade,8.6,,,,,,x,,,,,,,
NFC,8/26/2026 08:41:41,WAS,Cash Trade,-8.6,,,,,,x,,,,,,,
NFC,8/26/2026 09:49:56,DET,Jeff Caldwell,0.98,4,2026 5.16,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/26/2026 13:07:17,SEA,Ruke Orhorhoro,1.28,1,2024 3.15,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/26/2026 18:22:33,WAS,Cole Kmet,5.75,1,2025 B/R,,,,,,,,,SALARY FROM TRADE SOURCE SNAPSHOT: NOS -> WAS,,
NFC,8/28/2026 11:46:04,SEA,Dylan Laube,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/28/2026 13:41:52,SEA,Tyrice Knight,2.1,3,2026 oEXT,,,,,,,,,,,
NFC,8/28/2026 21:15:18,SEA,KLavon Chaisson,3.49,2,2026 oEXT,,,,,,,,,,,
NFC,8/30/2026 15:16:16,ATL,Arden Key,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/30/2026 15:16:16,ATL,Andre Cisco,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/30/2026 15:16:16,ATL,Elijah Molden,1.1,1,2026 UFA,,,,,,,,,WAIVER CLAIM - REVERSE PENALTY; CLAIMED BY PHI,,x
NFC,8/30/2026 15:16:16,ATL,Dane Belton,1.1,1,2026 UFA,,,,,,,,,WAIVER CLAIM - REVERSE PENALTY; CLAIMED BY NYG,,x
NFC,8/30/2026 15:16:16,ATL,Sydney Brown,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/30/2026 15:16:16,ATL,Kris Jenkins,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/30/2026 15:16:16,ATL,Jeremiah Trotter,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/30/2026 15:16:16,ATL,Tatum Bethune,2.1,3,2026 oEXT,,,,,,,,,,,
NFC,8/30/2026 16:36:20,DET,Ty Johnson,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/30/2026 16:36:20,DET,Kyle Dugger,5.72,1,2023 SRFA,,,,,,,,,,,
NFC,8/30/2026 16:36:20,DET,Omarr Norman-Lott,0.99,2,2025 UDFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/30/2026 18:44:59,WAS,Zach Ertz,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/30/2026 20:48:01,NYG,Geno Stone,2,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/30/2026 22:18:59,MIN,Tershawn Wharton,5.63,3,2025 iEXT,,,,,,,,,,,
NFC,8/30/2026 22:18:59,MIN,Kerby Joseph,4.1,1,2026 UFA,,,,,,,,,,,
NFC,8/30/2026 22:19:58,MIN,Devin Neal,1.12,3,2025 4.08,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/31/2026 01:05:21,CHI,Jameis Winston,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
