captured_at,snapshot_time,season,week,conference,franchise,franchise_name,player_id,player_name,player_team,player_pos,roster_status,player_status
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,15756,"Williams, Jameson",DET,WR,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,14303,"Elliss, Kaden",NOS,LB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,17472,"Love, Jeremiyah",ARI,RB,Active,Questionable
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,17553,"Faulk, Keldric",TEN,DE,Active,Questionable
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,13448,"Butler, Adam",LVR,DT,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,14412,"Singleton, Alex",DEN,LB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,14717,"McLaughlin, Chase",TBB,PK,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,14918,"Terrell, A.J.",ATL,CB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,12611,"Goff, Jared",DET,QB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,15387,"Werner, Pete",NOS,LB,Active,Questionable
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,15319,"Palmer, Joshua",BUF,WR,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,16342,"Douglas, Demario",NEP,WR,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,15445,"Lenoir, Deommodore",SFO,CB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,14997,"Rodgers, Isaiah",MIN,CB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,17169,"Stout, Upton",SFO,CB,Active,Questionable
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,14985,"Mann, Braden",PHI,PN,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,16102,"Pola-Mao, Isaiah",LVR,S,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,17613,"Halton, Gracen",SFO,DT,Active,Questionable
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,13744,"Shepherd, Nathan",NOS,DT,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,17606,"Barham, Jaishawn",DAL,LB,Active,R
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,17574,"Hood, Colton",NYG,CB,Active,Questionable
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,17561,"McCoy, Jermod",LVR,CB,Active,R
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,14302,"Scott, Nick",CAR,S,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,17083,"Higgins, Jayden",HOU,WR,INJURED_RESERVE,IR
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,WAS,Washington Commanders,14782,"Love, Jordan",GBP,QB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,WAS,Washington Commanders,14149,"Gary, Rashan",DAL,DE,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,WAS,Washington Commanders,16190,"Flowers, Zay",BAL,WR,Active,Questionable
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,WAS,Washington Commanders,16223,"Anderson, Will",HOU,DE,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,WAS,Washington Commanders,14836,"Jefferson, Justin",MIN,WR,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,WAS,Washington Commanders,9431,"Stafford, Matthew",LAR,QB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,WAS,Washington Commanders,16651,"Latu, Laiatu",IND,DE,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,WAS,Washington Commanders,13692,"Vea, Vita",TBB,DT,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,WAS,Washington Commanders,16747,"Tracy, Tyrone",NYG,RB,Active,Questionable
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,WAS,Washington Commanders,15281,"Chase, Ja'Marr",CIN,WR,Active,Questionable
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,WAS,Washington Commanders,15710,"Williams, Kyren",LAR,RB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,WAS,Washington Commanders,17121,"Graham, Mason",CLE,DT,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,WAS,Washington Commanders,17078,"Bech, Jack",LVR,WR,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,WAS,Washington Commanders,16213,"Kincaid, Dalton",BUF,TE,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,WAS,Washington Commanders,17241,"Crawshaw, Jeremy",DEN,PN,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,WAS,Washington Commanders,17167,"Sanker, Jonas",NOS,S,Active,
